,Knowledge representation and reasoning,Automated planning and scheduling,Machine learning,Natural language processing,Machine perception,Computer vision,Speech recognition,Robotics,Affective computing,Deep learning,Information retrieval,Computer science,Causality,Data mining,Commonsense knowledge,Intelligent agent
Knowledge representation and reasoning,1.00,0.45,0.46,0.42,0.43,0.40,0.24,0.34,0.34,0.39,0.39,0.49,0.26,0.38,0.57,0.52
Automated planning and scheduling,0.45,1.00,0.48,0.35,0.37,0.36,0.21,0.42,0.32,0.34,0.22,0.38,0.26,0.32,0.39,0.58
Machine learning,0.46,0.48,1.00,0.56,0.64,0.53,0.38,0.37,0.55,0.52,0.38,0.50,0.26,0.70,0.46,0.55
Natural language processing,0.42,0.35,0.56,1.00,0.46,0.42,0.53,0.30,0.46,0.40,0.47,0.56,0.27,0.48,0.50,0.43
Machine perception,0.43,0.37,0.64,0.46,1.00,0.76,0.42,0.54,0.62,0.53,0.39,0.44,0.24,0.41,0.43,0.48
Computer vision,0.40,0.36,0.53,0.42,0.76,1.00,0.43,0.49,0.50,0.54,0.43,0.54,0.25,0.45,0.35,0.40
Speech recognition,0.24,0.21,0.38,0.53,0.42,0.43,1.00,0.32,0.44,0.38,0.39,0.40,0.19,0.34,0.30,0.31
Robotics,0.34,0.42,0.37,0.30,0.54,0.49,0.32,1.00,0.37,0.37,0.26,0.33,0.18,0.22,0.28,0.47
Affective computing,0.34,0.32,0.55,0.46,0.62,0.50,0.44,0.37,1.00,0.35,0.35,0.37,0.18,0.43,0.43,0.46
Deep learning,0.39,0.34,0.52,0.40,0.53,0.54,0.38,0.37,0.35,1.00,0.23,0.39,0.23,0.34,0.26,0.41
Information retrieval,0.39,0.22,0.38,0.47,0.39,0.43,0.39,0.26,0.35,0.23,1.00,0.38,0.18,0.47,0.32,0.31
Computer science,0.49,0.38,0.50,0.56,0.44,0.54,0.40,0.33,0.37,0.39,0.38,1.00,0.28,0.45,0.33,0.34
Causality,0.26,0.26,0.26,0.27,0.24,0.25,0.19,0.18,0.18,0.23,0.18,0.28,1.00,0.17,0.28,0.38
Data mining,0.38,0.32,0.70,0.48,0.41,0.45,0.34,0.22,0.43,0.34,0.47,0.45,0.17,1.00,0.34,0.36
Commonsense knowledge,0.57,0.39,0.46,0.50,0.43,0.35,0.30,0.28,0.43,0.26,0.32,0.33,0.28,0.34,1.00,0.50
Intelligent agent,0.52,0.58,0.55,0.43,0.48,0.40,0.31,0.47,0.46,0.41,0.31,0.34,0.38,0.36,0.50,1.00
