,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.85
1,Automated planning and scheduling,CAI_02,0.83
2,Machine learning,CAI_03,1.00
3,Natural language processing,CAI_04,0.74
4,Machine perception,CAI_05,0.84
5,Computer vision,CAI_06,0.80
6,Speech recognition,CAI_07,0.76
7,Robotics,CAI_08,0.78
8,Affective computing,CAI_09,0.91
9,Deep learning,CAI_10,0.77
10,Information retrieval,CAI_11,0.76
11,Computer science,CAI_12,0.73
12,Causality,CAI_13,0.10
13,Data mining,CAI_14,0.85
14,Commonsense knowledge,CAI_15,0.64
15,Intelligent agent,CAI_16,0.95
