,Knowledge representation and reasoning_CKAI_01,Machine learning_CKAI_02,Deep learning_CKAI_03,Data mining_CKAI_04,Automated planning and scheduling_CKAI_05,Information retrieval_CKAI_06,Computer vision_CKAI_07,Affective computing_CKAI_08,Intelligent agent_CKAI_09,Machine perception_CKAI_10,Natural language processing_CKAI_11,Speech recognition_CKAI_12,Robotics_CKAI_13,Commonsense knowledge_CKAI_14,Computer science_CKAI_16,Master_Similarity
798,0.44,0.90,0.46,0.35,0.50,0.56,0.45,1.00,0.65,0.48,0.47,0.44,0.43,0.10,0.50,0.97
2204,0.92,0.93,0.82,0.73,0.71,0.58,0.56,0.86,1.00,0.45,0.83,0.83,0.33,0.10,0.60,0.96
3361,0.73,0.71,0.53,0.74,0.65,0.52,0.83,0.85,0.93,0.57,1.00,0.36,0.93,0.10,0.61,0.95
1545,0.47,1.00,0.82,0.54,0.52,0.63,0.45,0.92,0.62,0.94,0.71,0.24,0.81,0.10,0.43,0.95
1628,0.77,0.83,0.53,0.67,0.73,0.94,0.94,0.97,0.71,0.77,1.00,0.67,0.71,0.10,0.34,0.95
254,0.86,0.81,0.74,0.48,0.64,0.67,0.44,0.79,1.00,0.35,0.63,0.78,0.79,0.10,0.51,0.95
1126,0.92,0.75,0.95,0.68,0.56,0.54,0.79,1.00,0.76,0.67,0.69,0.61,0.31,0.10,0.63,0.95
33,0.62,0.81,0.52,0.27,0.67,0.57,0.35,1.00,0.59,0.53,0.44,0.66,0.55,0.10,0.53,0.95
1465,0.67,0.67,0.47,0.56,0.89,0.64,0.76,0.80,0.72,1.00,0.91,0.44,0.51,0.10,0.58,0.95
851,0.52,0.92,0.64,0.42,0.65,0.49,0.55,0.68,0.69,0.42,1.00,0.68,0.74,0.10,0.52,0.95
366,0.52,0.92,0.64,0.42,0.65,0.49,0.55,0.68,0.69,0.42,1.00,0.68,0.74,0.10,0.52,0.95
2223,0.43,0.73,0.56,0.50,0.68,0.62,0.60,1.00,0.68,0.71,0.38,0.22,0.58,0.46,0.10,0.95
1296,0.51,1.00,0.47,0.28,0.55,0.71,0.53,0.80,0.52,0.55,0.48,0.54,0.56,0.10,0.67,0.94
391,0.39,1.00,0.87,0.58,0.70,0.81,0.70,0.74,0.89,0.42,0.84,0.70,0.57,0.10,0.66,0.94
323,0.81,0.83,1.00,0.51,0.73,0.53,0.49,0.85,0.73,0.61,0.59,0.60,0.34,0.10,0.72,0.94
677,0.38,0.79,0.49,0.38,0.66,0.59,0.63,1.00,0.51,0.60,0.37,0.24,0.55,0.10,0.56,0.94
116,0.37,1.00,0.40,0.10,0.74,0.61,0.61,0.93,0.73,0.45,0.67,0.25,0.51,0.21,0.49,0.94
2193,0.56,0.96,0.47,0.40,0.52,0.58,1.00,0.69,0.60,0.36,0.53,0.70,0.56,0.10,0.22,0.94
1356,1.00,0.86,0.71,0.46,0.91,0.44,0.44,0.69,0.60,0.58,0.34,0.63,0.61,0.10,0.56,0.94
534,1.00,0.89,0.73,0.38,0.78,0.81,0.42,0.89,0.90,0.34,0.65,0.90,0.75,0.10,0.49,0.94
1312,0.73,0.75,0.37,0.24,0.56,0.51,0.61,0.64,0.70,0.75,1.00,0.10,0.59,0.15,0.41,0.94
1006,0.61,1.00,0.54,0.51,0.91,0.77,0.56,0.87,0.55,0.66,0.88,0.50,0.54,0.10,0.91,0.94
773,0.77,0.81,0.72,0.55,0.51,0.71,0.36,1.00,0.90,0.75,0.37,0.75,0.86,0.10,0.83,0.94
1174,0.57,0.95,0.53,0.48,0.61,0.54,0.53,1.00,0.38,0.64,0.38,0.80,0.49,0.10,0.62,0.94
3164,0.40,0.94,0.64,0.60,0.54,0.52,0.92,0.62,1.00,0.34,0.37,0.47,0.10,0.14,0.56,0.94
122,0.62,0.94,0.51,0.24,0.59,0.51,0.31,1.00,0.52,0.34,0.29,0.67,0.34,0.10,0.39,0.94
1717,0.85,0.92,1.00,0.79,0.72,0.77,0.73,0.75,0.76,0.88,0.63,0.70,0.90,0.10,0.95,0.94
1714,0.55,0.98,0.50,0.32,0.49,0.45,0.99,1.00,0.57,0.82,0.55,0.43,0.35,0.10,0.71,0.94
285,0.78,0.96,0.59,0.53,0.79,0.66,0.97,1.00,0.62,0.51,0.61,0.81,0.51,0.10,0.90,0.94
2244,0.81,0.67,0.88,0.51,0.76,0.66,0.61,0.60,0.73,1.00,0.66,0.74,0.49,0.10,0.42,0.93
104,0.59,0.84,0.75,0.45,0.96,0.71,0.92,0.89,0.94,0.98,0.81,1.00,0.36,0.10,0.73,0.93
