,Knowledge representation and reasoning_CAI_01,Automated planning and scheduling_CAI_02,Machine learning_CAI_03,Natural language processing_CAI_04,Machine perception_CAI_05,Computer vision_CAI_06,Speech recognition_CAI_07,Robotics_CAI_08,Affective computing_CAI_09,Deep learning_CAI_10,Information retrieval_CAI_11,Computer science_CAI_12,Data mining_CAI_14,Commonsense knowledge_CAI_15,Intelligent agent_CAI_16,Master_Similarity
2046,0.62,0.34,1.00,0.14,0.73,0.53,0.48,0.37,0.84,0.45,0.33,0.34,0.66,0.10,0.84,0.99
411,0.39,0.61,1.00,0.32,0.59,0.41,0.59,0.63,0.73,0.53,0.19,0.13,0.71,0.10,0.78,0.98
3023,0.46,0.52,1.00,0.22,0.42,0.38,0.26,0.20,0.51,0.39,0.24,0.34,0.64,0.10,0.72,0.98
982,0.66,0.89,1.00,0.32,0.56,0.41,0.65,0.51,0.78,0.36,0.28,0.25,0.66,0.10,0.94,0.98
1094,0.46,0.68,1.00,0.18,0.69,0.54,0.53,0.37,0.72,0.43,0.55,0.37,0.93,0.10,0.72,0.98
553,0.43,0.49,1.00,0.33,0.58,0.40,0.33,0.32,0.57,0.37,0.18,0.11,0.36,0.10,0.64,0.98
1855,0.76,0.65,0.98,0.11,0.62,0.47,0.41,0.18,0.64,0.57,0.46,0.35,0.75,0.10,1.00,0.98
1570,0.70,0.54,0.74,0.41,0.86,0.66,0.59,0.83,0.78,0.47,0.58,0.47,0.70,0.10,1.00,0.97
234,0.33,0.36,1.00,0.29,0.51,0.45,0.16,0.22,0.56,0.56,0.20,0.31,0.44,0.10,0.55,0.97
1273,0.78,0.62,0.80,0.46,0.80,0.50,0.59,0.70,1.00,0.36,0.80,0.36,0.95,0.10,0.79,0.97
2993,0.67,0.66,1.00,0.28,0.73,0.72,0.72,0.41,0.62,0.63,0.77,0.28,0.99,0.10,0.81,0.97
1980,0.59,0.46,1.00,0.47,0.57,0.42,0.19,0.20,0.55,0.43,0.24,0.10,0.56,0.34,0.77,0.97
1437,0.42,0.42,1.00,0.40,0.68,0.45,0.26,0.41,0.54,0.49,0.10,0.28,0.51,0.34,0.66,0.97
967,0.66,0.38,0.95,0.41,0.70,0.68,0.29,0.34,1.00,0.60,0.40,0.10,0.56,0.38,0.75,0.97
939,0.52,0.47,1.00,0.23,0.53,0.55,0.17,0.62,0.72,0.45,0.10,0.46,0.59,0.28,0.60,0.97
492,0.48,0.57,1.00,0.38,0.84,0.54,0.52,0.38,0.80,0.83,0.58,0.53,0.80,0.10,0.67,0.97
1765,0.78,0.78,1.00,0.10,0.59,0.45,0.28,0.31,0.98,0.40,0.54,0.53,0.78,0.24,0.71,0.97
3085,0.48,0.26,1.00,0.49,0.56,0.50,0.56,0.36,0.68,0.38,0.47,0.47,0.78,0.10,0.68,0.97
1577,0.53,0.49,1.00,0.39,0.55,0.50,0.36,0.10,0.63,0.55,0.26,0.34,0.59,0.43,0.88,0.97
463,0.42,0.62,1.00,0.30,0.54,0.60,0.39,0.37,0.74,0.59,0.30,0.52,0.85,0.10,0.60,0.97
2291,0.47,0.47,1.00,0.43,0.61,0.49,0.17,0.46,0.58,0.52,0.10,0.49,0.58,0.34,0.70,0.97
2211,0.53,0.31,1.00,0.19,0.72,0.46,0.32,0.54,0.79,0.52,0.54,0.36,0.78,0.10,0.49,0.97
220,0.54,0.62,1.00,0.45,0.68,0.42,0.38,0.10,0.88,0.32,0.42,0.35,0.70,0.53,0.97,0.97
1448,0.49,0.39,1.00,0.27,0.45,0.39,0.25,0.10,0.63,0.45,0.23,0.31,0.58,0.38,0.75,0.97
2984,0.55,0.52,0.94,0.21,0.70,0.63,0.52,0.48,0.74,0.35,0.58,0.58,1.00,0.10,0.75,0.97
873,0.43,0.64,0.74,0.10,0.46,0.39,0.25,0.37,0.49,0.44,0.46,0.17,0.66,0.18,1.00,0.97
134,0.59,0.59,1.00,0.37,0.79,0.65,0.39,0.64,0.71,0.61,0.40,0.67,0.64,0.10,0.58,0.97
1867,0.54,0.49,0.89,0.36,0.55,0.44,0.56,0.10,0.93,0.65,0.50,0.29,0.74,0.37,1.00,0.97
1362,0.82,0.86,0.87,0.44,0.84,0.93,0.84,0.62,0.86,0.58,0.70,0.77,0.91,0.10,1.00,0.97
3141,0.88,0.86,0.91,0.31,0.68,0.51,0.53,0.27,0.57,0.35,0.55,0.48,0.81,0.10,1.00,0.97
3108,0.60,0.47,1.00,0.49,0.54,0.53,0.50,0.10,0.79,0.48,0.23,0.55,0.57,0.34,0.91,0.97
112,0.34,0.57,1.00,0.41,0.76,0.54,0.28,0.86,0.83,0.50,0.39,0.43,0.66,0.10,0.82,0.97
1044,0.53,0.36,1.00,0.36,0.70,0.69,0.35,0.36,0.79,0.60,0.10,0.29,0.40,0.22,0.65,0.97
72,0.38,0.53,1.00,0.34,0.84,0.43,0.27,0.28,0.94,0.64,0.25,0.26,0.45,0.10,0.95,0.97
1321,0.76,0.78,1.00,0.49,0.68,0.44,0.63,0.58,0.81,0.42,0.76,0.10,0.91,0.40,0.90,0.97
278,0.63,0.47,0.90,0.32,0.58,0.46,0.30,0.72,0.84,0.60,0.67,0.76,0.68,0.10,1.00,0.97
1378,0.56,0.32,1.00,0.26,0.84,0.60,0.65,0.58,0.96,0.32,0.50,0.61,0.83,0.10,0.87,0.97
1554,0.58,1.00,0.78,0.21,0.57,0.54,0.33,0.58,0.58,0.45,0.42,0.36,0.68,0.10,0.97,0.97
270,0.88,0.98,1.00,0.14,0.62,0.60,0.24,0.49,0.70,0.59,0.44,0.64,0.80,0.10,0.90,0.97
803,0.55,0.73,0.96,0.36,0.94,0.71,0.39,0.47,0.79,1.00,0.51,0.54,0.68,0.10,0.85,0.97
