,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.90
1,Automated planning and scheduling,CAI_02,0.78
2,Machine learning,CAI_03,1.00
3,Natural language processing,CAI_04,0.83
4,Machine perception,CAI_05,0.75
5,Computer vision,CAI_06,0.81
6,Speech recognition,CAI_07,0.92
7,Robotics,CAI_08,0.72
8,Affective computing,CAI_09,0.95
9,Deep learning,CAI_10,0.79
10,Information retrieval,CAI_11,0.68
11,Computer science,CAI_12,0.71
12,Causality,CAI_13,0.10
13,Data mining,CAI_14,0.85
14,Commonsense knowledge,CAI_15,0.76
15,Intelligent agent,CAI_16,0.94
