,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.73
1,Automated planning and scheduling,CAI_02,0.37
2,Machine learning,CAI_03,1.00
3,Natural language processing,CAI_04,0.53
4,Machine perception,CAI_05,0.28
5,Computer vision,CAI_06,0.47
6,Speech recognition,CAI_07,0.76
7,Robotics,CAI_08,0.20
8,Affective computing,CAI_09,0.86
9,Deep learning,CAI_10,0.39
10,Information retrieval,CAI_11,0.10
11,Computer science,CAI_12,0.18
12,Data mining,CAI_14,0.57
13,Commonsense knowledge,CAI_15,0.32
14,Intelligent agent,CAI_16,0.84
