,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.21
1,Automated planning and scheduling,CAI_02,0.74
2,Machine learning,CAI_03,0.90
3,Natural language processing,CAI_04,0.34
4,Machine perception,CAI_05,1.00
5,Computer vision,CAI_06,0.54
6,Speech recognition,CAI_07,0.72
7,Robotics,CAI_08,0.77
8,Affective computing,CAI_09,0.64
9,Deep learning,CAI_10,0.10
10,Information retrieval,CAI_11,0.47
11,Computer science,CAI_12,0.19
12,Causality,CAI_13,0.25
13,Data mining,CAI_14,0.53
14,Commonsense knowledge,CAI_15,0.47
15,Intelligent agent,CAI_16,0.81
