,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.87
1,Automated planning and scheduling,CAI_02,0.74
2,Machine learning,CAI_03,0.71
3,Natural language processing,CAI_04,0.55
4,Machine perception,CAI_05,0.82
5,Computer vision,CAI_06,0.64
6,Speech recognition,CAI_07,0.94
7,Robotics,CAI_08,0.75
8,Affective computing,CAI_09,0.59
9,Deep learning,CAI_10,0.73
10,Information retrieval,CAI_11,0.49
11,Computer science,CAI_12,0.80
12,Causality,CAI_13,0.10
13,Data mining,CAI_14,1.00
14,Commonsense knowledge,CAI_15,0.37
15,Intelligent agent,CAI_16,0.87
