,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.63
1,Automated planning and scheduling,CAI_02,0.39
2,Machine learning,CAI_03,1.00
3,Natural language processing,CAI_04,0.35
4,Machine perception,CAI_05,0.42
5,Computer vision,CAI_06,0.44
6,Speech recognition,CAI_07,0.55
7,Robotics,CAI_08,0.76
8,Affective computing,CAI_09,0.18
9,Deep learning,CAI_10,0.39
10,Information retrieval,CAI_11,0.60
11,Computer science,CAI_12,0.30
12,Causality,CAI_13,0.10
13,Data mining,CAI_14,0.77
14,Commonsense knowledge,CAI_15,0.20
15,Intelligent agent,CAI_16,0.15
