,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.29
1,Automated planning and scheduling,CAI_02,0.35
2,Machine learning,CAI_03,0.51
3,Natural language processing,CAI_04,0.30
4,Machine perception,CAI_05,0.78
5,Computer vision,CAI_06,0.69
6,Speech recognition,CAI_07,0.39
7,Robotics,CAI_08,1.00
8,Affective computing,CAI_09,0.29
9,Deep learning,CAI_10,0.37
10,Information retrieval,CAI_11,0.10
11,Computer science,CAI_12,0.43
12,Causality,CAI_13,0.76
13,Data mining,CAI_14,0.93
14,Commonsense knowledge,CAI_15,0.27
15,Intelligent agent,CAI_16,0.17
