,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.50
1,Automated planning and scheduling,CAI_02,0.13
2,Machine learning,CAI_03,0.89
3,Natural language processing,CAI_04,0.52
4,Machine perception,CAI_05,0.51
5,Computer vision,CAI_06,0.58
6,Speech recognition,CAI_07,0.69
7,Robotics,CAI_08,0.56
8,Affective computing,CAI_09,0.45
9,Deep learning,CAI_10,0.74
10,Information retrieval,CAI_11,0.35
11,Computer science,CAI_12,0.91
12,Causality,CAI_13,0.10
13,Data mining,CAI_14,1.00
14,Commonsense knowledge,CAI_15,0.23
15,Intelligent agent,CAI_16,0.25
