,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.51
1,Automated planning and scheduling,CAI_02,0.52
2,Machine learning,CAI_03,0.43
3,Natural language processing,CAI_04,0.21
4,Machine perception,CAI_05,0.51
5,Computer vision,CAI_06,0.60
6,Speech recognition,CAI_07,0.69
7,Robotics,CAI_08,0.61
8,Affective computing,CAI_09,0.32
9,Deep learning,CAI_10,0.71
10,Information retrieval,CAI_11,0.10
11,Computer science,CAI_12,0.31
12,Causality,CAI_13,0.72
13,Data mining,CAI_14,1.00
14,Commonsense knowledge,CAI_15,0.67
15,Intelligent agent,CAI_16,0.95
