id,string_id,title,URL,rela_link,city,date,source
0,Job_0000,Artificial intelligence Architect,https://www.indeed.com/rc/clk?jk=fb52b9879efd8613&fccid=67014df0f8d8ef3d&vjs=3,/Job_pages/0_2021-05-11,"Sacramento, CA 95822",2021-05-11,Indeed.com 
1,Job_0001,Executive Assistant,https://www.indeed.com/rc/clk?jk=f95332c51c85918b&fccid=dd616958bd9ddc12&vjs=3,/Job_pages/1_2021-05-11,"New York, NY",2021-05-11,Indeed.com 
2,Job_0002,SAP EHS,https://www.indeed.com/rc/clk?jk=056562879c7c75a5&fccid=105ecfd0283f415f&vjs=3,/Job_pages/2_2021-05-11,"Princeton, NJ",2021-05-11,Indeed.com 
3,Job_0003,"Research Scientist, Accelerated Materials Design and Discovery",https://www.indeed.com/rc/clk?jk=e73717f0b31ea732&fccid=e490ccf806951166&vjs=3,/Job_pages/3_2021-05-11,"Los Altos, CA 94022",2021-05-11,Indeed.com 
4,Job_0004,Computer Vision Engineer,https://www.indeed.com/rc/clk?jk=ec7e205fb6d2db28&fccid=0311449ba0473e75&vjs=3,/Job_pages/4_2021-05-11,"San Francisco Bay Area, CA",2021-05-11,Indeed.com 
5,Job_0005,Associate Analyst,https://www.indeed.com/rc/clk?jk=94f435494dfa4d74&fccid=22efec3ff19e9e26&vjs=3,/Job_pages/5_2021-05-11,"Austin, TX",2021-05-11,Indeed.com 
6,Job_0006,"Fellow, Technology and Architecture, Office of the CTO",https://www.indeed.com/rc/clk?jk=0d1a8f67de13a092&fccid=e15d9e27876d9dc3&vjs=3,/Job_pages/6_2021-05-11,"Redwood City, CA 94065",2021-05-11,Indeed.com 
7,Job_0007,Worldwide Life Sciences Business Development,https://www.indeed.com/rc/clk?jk=e8d4edf87e875577&fccid=fe2d21eef233e94a&vjs=3,/Job_pages/7_2021-05-11,"Cambridge, MA",2021-05-11,Indeed.com 
8,Job_0008,Data and Applied Scientist – Natural Language Processing – Microsoft Research,https://www.indeed.com/rc/clk?jk=3ad7232beecf55f8&fccid=734cb5a01ee60f80&vjs=3,/Job_pages/8_2021-05-11,"Redmond, WA 98052",2021-05-11,Indeed.com 
9,Job_0009," Mentors (Independent Contractor) Artificial Intelligence, Microsoft Azure, Azure Data Lake and Azure SQL",https://www.indeed.com/rc/clk?jk=415f104ed6ee40cf&fccid=1503f9b2e8718009&vjs=3,/Job_pages/9_2021-05-11,"Texas City, TX",2021-05-11,Indeed.com 
10,Job_0010,Embedded System Development Engineer,https://www.indeed.com/rc/clk?jk=32a472c33043cea1&fccid=aca0bac013100c13&vjs=3,/Job_pages/10_2021-05-11,"Cupertino, CA",2021-05-11,Indeed.com 
11,Job_0011,Backend Platform/Data Engineer,https://www.indeed.com/rc/clk?jk=332d49eaddf78ab8&fccid=c1099851e9794854&vjs=3,/Job_pages/11_2021-05-11,"Santa Clara Valley, CA 95014",2021-05-11,Indeed.com 
12,Job_0012, Associate Scientist Biology,https://www.indeed.com/rc/clk?jk=6a47e6490d53075e&fccid=0cc2a0c35ad673e5&vjs=3,/Job_pages/12_2021-05-11,"Austin, TX",2021-05-11,Indeed.com 
13,Job_0013,Technical Service Engineer,https://www.indeed.com/rc/clk?jk=50c2bb73b2eea6b6&fccid=f73d2aae691db745&vjs=3,/Job_pages/13_2021-05-11,"Hollister, CA 95023",2021-05-11,Indeed.com 
14,Job_0014,"Machine Learning Engineer, Perception",https://www.indeed.com/rc/clk?jk=950faf8ba0ce2a46&fccid=f368300325e8e8bc&vjs=3,/Job_pages/14_2021-05-11,"Seattle, WA",2021-05-11,Indeed.com 
15,Job_0015,"Software Graduate Internship, Habana Labs, an AI Intel Company",https://www.indeed.com/rc/clk?jk=d08254a236099b8e&fccid=f1374be6a45f4b8a&vjs=3,/Job_pages/15_2021-05-11,"Austin, TX 78746",2021-05-11,Indeed.com 
16,Job_0016, Research Intern Office of Applied Research,https://www.indeed.com/rc/clk?jk=583378acec5e4a6f&fccid=734cb5a01ee60f80&vjs=3,/Job_pages/16_2021-05-11,"Redmond, WA 98052",2021-05-11,Indeed.com 
17,Job_0017,Solutions Engineer,https://www.indeed.com/rc/clk?jk=a1e8fd908435d4c3&fccid=9959203efaf2f59e&vjs=3,/Job_pages/17_2021-05-11,"San Francisco Bay Area, CA",2021-05-11,Indeed.com 
18,Job_0018,PCF Developer,https://www.indeed.com/rc/clk?jk=cbe39898a3f8239c&fccid=105ecfd0283f415f&vjs=3,/Job_pages/18_2021-05-11,"Richardson, TX",2021-05-11,Indeed.com 
19,Job_0019,Global Quality Technical Program Manager,https://www.indeed.com/rc/clk?jk=0806944259655f25&fccid=be240c643a8631c5&vjs=3,/Job_pages/19_2021-05-11,"Boise, ID",2021-05-11,Indeed.com 
20,Job_0020,Applied Scientist,https://www.indeed.com/rc/clk?jk=4b6599720c6ce77c&fccid=fe2d21eef233e94a&vjs=3,/Job_pages/20_2021-05-11,"Seattle, WA",2021-05-11,Indeed.com 
21,Job_0021,"Software Engineer III, Search, Social Impact",https://www.indeed.com/rc/clk?jk=ec6a54887ce949ad&fccid=a5b4499d9e91a5c6&vjs=3,/Job_pages/21_2021-05-11,"Washington, DC",2021-05-11,Indeed.com 
22,Job_0022,Data Scientist,https://www.indeed.com/rc/clk?jk=f2f3bb0aaf040cc9&fccid=a9b1ec90401b6815&vjs=3,/Job_pages/22_2021-05-11,"Los Angeles, CA 90067",2021-05-11,Indeed.com 
23,Job_0023,Chief Scientist,https://www.indeed.com/rc/clk?jk=47bd6fdc030039ea&fccid=193ab4ce9271c767&vjs=3,/Job_pages/23_2021-05-11,"Aberdeen Proving Ground, MD",2021-05-11,Indeed.com 
24,Job_0024,Director of Alliances and Partnerships,https://www.indeed.com/rc/clk?jk=c3dd0e9e39928a5b&fccid=2aeca20b468ba6df&vjs=3,/Job_pages/24_2021-05-11,United States,2021-05-11,Indeed.com 
25,Job_0025,Informatica Developer,https://www.indeed.com/rc/clk?jk=24f877008611ab59&fccid=105ecfd0283f415f&vjs=3,/Job_pages/25_2021-05-11,Remote,2021-05-11,Indeed.com 
26,Job_0026,"Technical Production & Editorial Assistant SAN FRANCISCO, CACONTENT",https://www.indeed.com/rc/clk?jk=12e02e2a11cb48f6&fccid=0376130dee20ed0f&vjs=3,/Job_pages/26_2021-05-11,"San Francisco, CA",2021-05-11,Indeed.com 
27,Job_0027,Business Analyst L2,https://www.indeed.com/rc/clk?jk=2289e3ae8ee33d74&fccid=105ecfd0283f415f&vjs=3,/Job_pages/27_2021-05-11,"Des Plaines, IL",2021-05-11,Indeed.com 
28,Job_0028,Principal I/O Investigator,https://www.indeed.com/rc/clk?jk=04d357dbf7931416&fccid=be240c643a8631c5&vjs=3,/Job_pages/28_2021-05-11,"San Jose, CA",2021-05-11,Indeed.com 
29,Job_0029,Data Scientist II,https://www.indeed.com/rc/clk?jk=1c6d8d6d50bfe1bc&fccid=5c92f2e50cf01fad&vjs=3,/Job_pages/29_2021-05-11,"Pasadena, CA 91109",2021-05-11,Indeed.com 
30,Job_0030,Chief Information Officer,https://www.indeed.com/rc/clk?jk=aa3ca11f964f9870&fccid=ee6caba8aa18560f&vjs=3,/Job_pages/30_2021-05-11,"Irvine, CA 92612",2021-05-11,Indeed.com 
31,Job_0031, Translation Informatics Analyst Artificial Intelligence,https://www.indeed.com/rc/clk?jk=03437b04c08865e2&fccid=26877094797beef3&vjs=3,/Job_pages/31_2021-05-11,"Rochester, MN 55901",2021-05-11,Indeed.com 
32,Job_0032,Financial Crime Model Lead,https://www.indeed.com/rc/clk?jk=6cad01601cb56cd9&fccid=1639254ea84748b5&vjs=3,/Job_pages/32_2021-05-11,"San Francisco, CA 94105",2021-05-11,Indeed.com 
33,Job_0033, Senior Product Designers (Freelance/Contractor) Remote,https://www.indeed.com/rc/clk?jk=0076871e2073239f&fccid=18c5d7667e345cf0&vjs=3,/Job_pages/33_2021-05-11,"San Mateo, CA 94401",2021-05-11,Indeed.com 
34,Job_0034,"Voice and Telephony Software Engineer, Google Fiber",https://www.indeed.com/rc/clk?jk=eb2a2bc6cdb8782a&fccid=a5b4499d9e91a5c6&vjs=3,/Job_pages/34_2021-05-11,"Mountain View, CA",2021-05-11,Indeed.com 
35,Job_0035,Biosciences Senior Research Scientist,https://www.indeed.com/rc/clk?jk=79b33b050679b1ed&fccid=64e028df9b3fd2c4&vjs=3,/Job_pages/35_2021-05-11,"Oak Ridge, TN 37831",2021-05-11,Indeed.com 
36,Job_0036, Data Scientist Genomics,https://www.indeed.com/rc/clk?jk=9361358d189e32dd&fccid=943df4dfeeeb9fc4&vjs=3,/Job_pages/36_2021-05-11,"San Diego, CA",2021-05-11,Indeed.com 
37,Job_0037,SAP SD S/4 HANA,https://www.indeed.com/rc/clk?jk=e7ebca1da8b3d03b&fccid=105ecfd0283f415f&vjs=3,/Job_pages/37_2021-05-11,"Universal City, CA",2021-05-11,Indeed.com 
38,Job_0038,Events Planner 1,https://www.indeed.com/rc/clk?jk=176826692050f963&fccid=1ba7f338730ce720&vjs=3,/Job_pages/38_2021-05-11,"Stanford, CA",2021-05-11,Indeed.com 
39,Job_0039,Jr. Software Engineer,https://www.indeed.com/rc/clk?jk=cfec481ff6f6db6b&fccid=22ec6ef3cc441ac2&vjs=3,/Job_pages/39_2021-05-11,"Schaumburg, IL",2021-05-11,Indeed.com 
40,Job_0040,Assistant Professor,https://www.indeed.com/rc/clk?jk=d44ca9e204a49da0&fccid=c0f8fe90d3cd91fa&vjs=3,/Job_pages/40_2021-05-11,"Gainesville, FL 32611",2021-05-11,Indeed.com 
41,Job_0041,Systems Module Architect,https://www.indeed.com/rc/clk?jk=2e6d4d723eebae89&fccid=be240c643a8631c5&vjs=3,/Job_pages/41_2021-05-11,"San Jose, CA",2021-05-11,Indeed.com 
42,Job_0042,Graphic Designer,https://www.indeed.com/rc/clk?jk=175d8611076988fb&fccid=dd616958bd9ddc12&vjs=3,/Job_pages/42_2021-05-11,"San Juan, PR 00909",2021-05-11,Indeed.com 
43,Job_0043,Senior Front-End Developer,https://www.indeed.com/rc/clk?jk=2e979a88b20e718c&fccid=f1582c464db8553b&vjs=3,/Job_pages/43_2021-05-11,"Sheridan, WY",2021-05-11,Indeed.com 
44,Job_0044,"Research Intern, Uncertainty Quantification",https://www.indeed.com/rc/clk?jk=c57e561ee91dc6d5&fccid=fd6a32f24dd4ee0d&vjs=3,/Job_pages/44_2021-05-11,"Palo Alto, CA",2021-05-11,Indeed.com 
45,Job_0045,AI and Machine Learning Trainee,https://www.indeed.com/rc/clk?jk=42ddc92b1ae50c26&fccid=e5d2c64e83c02ec9&vjs=3,/Job_pages/45_2021-05-11,Remote,2021-05-11,Indeed.com 
46,Job_0046,Executive Assistant,https://www.indeed.com/rc/clk?jk=0596d748299e825c&fccid=cda35744221d7dc7&vjs=3,/Job_pages/46_2021-05-11,"San Francisco, CA",2021-05-11,Indeed.com 
47,Job_0047,Senior Software Engineer,https://www.indeed.com/rc/clk?jk=c1a983b741873d71&fccid=108090fef5447f72&vjs=3,/Job_pages/47_2021-05-11,"Peoria, IL 61602",2021-05-11,Indeed.com 
48,Job_0048,Account Executive – Ohio and Western Pennsylvania (REMOTE),https://www.indeed.com/rc/clk?jk=563bf50d0096870d&fccid=ea5b883d84734bf8&vjs=3,/Job_pages/48_2021-05-11,"Columbus, OH",2021-05-11,Indeed.com 
49,Job_0049,Custom Billing Analyst,https://www.indeed.com/rc/clk?jk=771758458d729e71&fccid=fe2d21eef233e94a&vjs=3,/Job_pages/49_2021-05-11,"Seattle, WA",2021-05-11,Indeed.com 
50,Job_0050,Dark Web Intelligence Analyst,https://www.indeed.com/rc/clk?jk=2570d285e652b10c&fccid=01d35d72db858e81&vjs=3,/Job_pages/50_2021-05-11,"Morgantown, WV",2021-05-11,Indeed.com 
51,Job_0051," Artificial Intelligence, Manager Applied Artificial Intelligence (Full Stack Developer)",https://www.indeed.com/rc/clk?jk=d7cc4c5bb13b38dd&fccid=9e215d88a6b33622&vjs=3,/Job_pages/51_2021-05-11,"Phoenix, AZ 85012",2021-05-11,Indeed.com 
52,Job_0052,Artificial Intelligence Senior Manager,https://www.indeed.com/rc/clk?jk=a04f10b548edbe9f&fccid=a4e4e2eaf26690c9&vjs=3,/Job_pages/52_2021-05-11,"San Francisco, CA 94105",2021-05-11,Indeed.com 
53,Job_0053,"Commercial Counsel, Technical Infrastructure",https://www.indeed.com/rc/clk?jk=aee036f481e76f40&fccid=a5b4499d9e91a5c6&vjs=3,/Job_pages/53_2021-05-11,"San Francisco, CA",2021-05-11,Indeed.com 
54,Job_0054,Assistant Professor: Phenomics for Plant Breeding Applications,https://www.indeed.com/rc/clk?jk=6bf61fce3679fc12&fccid=c0f8fe90d3cd91fa&vjs=3,/Job_pages/54_2021-05-11,"Wimauma, FL 33598",2021-05-11,Indeed.com 
55,Job_0055,IT Architect,https://www.indeed.com/rc/clk?jk=d22c061665a6a1bd&fccid=145c13fd40aeb885&vjs=3,/Job_pages/55_2021-05-11,"San Juan, PR",2021-05-11,Indeed.com 
